DENOMINACION_AF,CODIGO_FP,D_CONTENIDOS,D_OBJETIVOS,CODIGO_AREA_TRAD,Languagereveiw
CURSO DE INGLES NIVEL B2,Servicios socioculturales y a la comunidad,ampliacion regl sintaxis excepcion frecuent reestructur fras primer recurs literari ampliacion practic exhaust problem ortograf verb regular irregular verb modal verb frasal terminologi empres vocabulari construccion complement direct indirect adjet adverbi distint famili grup nominal preposicional esencial complement tiemp lug complement mod final caus ampliacion famili lexic grup palabr relacion," Mejorar el nivel de expresión, confianza y comprensión de los alumnos por medio de ampliar sus conocimientos gramaticales y léxicos en clases de inmersión total con un enfoque total hacia el ejercicio oral sin dejar de lado correcciones y explicaciones gramaticales de interés.   Preparar examen FCE Cambridge.   Adquirir un nivel de léxico que permita la compresión en una conversación tanto de negocios como en contextos de cotidianeidad,  en diferentes tiempos verbales y estructuras avanzadas   Reforzar conocimientos adquiridos y practicar los grupos de palabras de pronunciación más difícil, como método para mejorar la capacidad de reconocimiento de sonidos.",Formación y educación,es
COORDINADOR EN MATERIA DE SEGURIDAD Y SALUD EN LAS OBRAS DE CONSTRUCCION,Seguridad y medio ambiente,modul concept basic segur salud trabaj trabaj salud riesg profesional daã deriv trabaj condicion trabaj factor riesg tecnic prevent estadist siniestral laboral modul b coordin materi segur salud b perfil profesional b objet accion funcion tar b agent particip proces construct b requisit administr asoci activ modul c ambit jurid prevencion riesg laboral marc normat c concept jurid basic respons c normat general prevencion riesg laboral c normat especif prevencion riesg laboral c normat especif segur salud sector construccion c prevencion riesg laboral espaã organ entidad modul d gestion prevencion riesg laboral d sistem prevencion riesg laboral empres d planificacion prevencion riesg laboral obras construccion estudi estudi basic segur salud plan segur salud trabaj modul tecnic comunicacion motivacion negociacion organizacion direccion reunion tecnic comunicacion verbal escrit tecnic negociacion resolucion conflict aplicacion practic modul f analisis condicion implantacion obras construccion f implantacion general obra f instal personal f instal provisional obra f acopi almacen taller gestion residu f med emergent f seãalizacion modul g equip trabaj proteccion colect equip proteccion individual g equip trabaj maquin herramient medi auxiliar g proteccion colect g equip proteccion individual modul h condicion segur obras edificacion h riesg med prevent proteccion fas obra h med prevent proteccion especial relev modul i condicion segur obras civil i riesg med prevent proteccion tipologi obra i med prevent proteccion especial relev modul j especial prevent j riesg med prevent relacion medi ambient trabaj obras construccion higien industrial j ergonomi psicosociologi aplic j criteri vigil salud modul k part practic k dinam trabaj grup simul situacion real obra,"OBJETIVO GENERAL:  ADQUIRIR LOS CONOCIMIENTOS EN MATERIA DE PREVENCION DE RIESGOS LABORALES QUE ES   RECOMENDABLE DISPONER PARA EJERCER LAS FUNCIONES QUE SE LE ASIGNAN AL   COORDINADOR EN MATERIA DE SEGURIDAD Y SALUD TANTO DURANTE LA ELABORACION DEL   PROYECTO DE OBRA, COMO DURANTE LA EJECUCION DE LA MISMA EN EL REAL DECRETO   1627/1997, CONFORME AL PROGRAMA DE FORMACION PROPUESTO EN LA GUIA TECNICA PARA   LA EVALUACION Y PREVENCION DE LOS RIESGOS RELATIVOS A LAS OBRAS DE CONSTRUCCION   ELABORADA POR EL INSTITUTO NACIONAL DE SEGURIDAD E HIGIENE EN EL TRABAJO.    OBJETIVOS ESPECIFICOS:  - CONOCER LOS CONCEPTOS BASICOS SOBRE SEGURIDAD Y SALUD EN EL TRABAJO APLICADOS   A LA COORDINACION EN MATERIA DE SEGURIDAD Y SALUD EN LAS OBRAS DE CONSTRUCCION.  - CLASIFICAR LAS DIFERENTES CONDICIONES DE TRABAJO QUE PUEDAN TENER UNA   INFLUENCIA SIGNIFICATIVA EN LA GENERACION DE RIESGOS PARA LA SEGURIDAD Y LA   SALUD DE LOS TRABAJADORES, EN FUNCION DE SU NATURALEZA.  - CONOCER LAS FUNCIONES DEL COORDINADOR EN MATERIA DE SEGURIDAD Y SALUD TANTO   DURANTE LA ELABORACION DEL PROYECTO, COMO DURANTE LA EJECUCION DE LA OBRA, ASI   COMO LOS TRAMITES ADMINISTRATIVOS QUE HA DE REALIZAR DURANTE EL DESARROLLO DE   SU ACTIVIDAD.  - CONOCER LAS OBLIGACIONES EN MATERIA DE PREVENCION DE RIESGOS LABORALES   CORRESPONDIENTES A LOS AGENTES PARTICIPANTES EN EL PROCESO CONSTRUCTIVO.  - CONOCER LA CONFIGURACION DEL MARCO NORMATIVO EN MATERIA DE PREVENCION DE   RIESGOS LABORALES, ASI COMO OTRAS DISPOSICIONES DE CARACTER TECNICO DE   APLICACION EN DICHA MATERIA.  - CONOCER EL OBJETO, EL AMBITO DE APLICACION Y LOS ASPECTOS FUNDAMENTALES DE LA   NORMATIVA ESPECIFICA QUE ESTABLECE LAS DISPOSICIONES MINIMAS DE SEGURIDAD Y   SALUD QUE DEBEN APLICARSE EN LAS OBRAS DE CONSTRUCCION.  - COMPRENDER COMO SE GESTIONAN GLOBALMENTE LOS RIESGOS LABORALES.  - DISTINGUIR LOS PRINCIPALES MECANISMOS Y PROCEDIMIENTOS A TRAVES DE LOS QUE   RESULTA POSIBLE LLEVAR A CABO LA INTEGRACION DE LA PREVENCION DE RIESGOS   LABORALES EN EL SISTEMA GENERAL DE GESTION DE LA EMPRESA.  - CONOCER LOS ASPECTOS BASICOS DE LA GESTION PREVENTIVA EN LAS OBRAS DE   CONSTRUCCION.  - CONOCER LOS PRINCIPALES INSTRUMENTOS DESTINADOS A LA GESTION PREVENTIVA DE   LAS OBRAS CON PROYECTO DE EJECUCION.  - APLICAR LAS TECNICAS DE COMUNICACION, MOTIVACION Y NEGOCIACION EN EL   DESARROLLO DE LAS ACTIVIDADES DE COORDINACION EN MATERIA DE SEGURIDAD Y SALUD   Y, EN PARTICULAR, EN LA ORGANIZACION, LA DIRECCION Y EL SEGUIMIENTO DE  LAS   REUNIONES DE COORDINACION Y LA RESOLUCION DE CONFLICTOS.  - CONOCER LOS RIESGOS MAS SIGNIFICATIVOS DURANTE LA EJECUCION DE LAS OBRAS DE   CONSTRUCCION (EDIFICACION Y OBRA CIVIL), ASI COMO LAS MEDIDAS PREVENTIVAS Y DE   PROTECCION DE APLICACION GENERAL Y DE ESPECIAL RELEVANCIA FRENTE A DICHOS   RIESGOS.",Seguridad y prevención,de
INGLÉS TÉCNICO.  NIVEL AVANZADO,Formación complementaria,escritur text especializ cart articul inform tem tecnic general lectur analisis text tom libr tecnic ingeni ademas diari period revist especializ analisis tecnic estrategi comprension lector text tecnic practic comprension audit text grab temat vari inclu entrev discusion conferent convers practic interaccion socioprofesional particip reunion negoci asistent feri realiz present oral tem relacion ingeni lenguaj conten estructur etc gramat avanz ejercici pronunci acent enton,"1.Mejorar la capacidad para comunicarse en inglés técnico, principalmente hablar y escuchar, con el énfasis en la comunicación en el mundo de la ingeniería, arquitectura y consultoría.  2.Aumentar el nivel de vocabulario de carácter técnico, empresarial y general en inglés. Dominar expresiones técnicas y no técnicas relacionadas directamente con su actividad laboral.  3.Desarrollar al máximo las habilidades de comunicación de cada alumno, con abundante práctica interactiva.  4.Profundizar en el conocimiento de la gramática inglesa.  5.Mejorar la expresión escrita de los alumnos, principalmente la redacción de correos electrónicos relacionados con su trabajo diario.",Lenguas extranjeras,es
ACOMPAÑANTES EN EL TRANSPOTE DE PERSONAS CON DISCAPACIDAD Y EN SITUACIÓN DE DEPENDENCIA: PARTE II,Hostelería y turismo,modul normat vincul trasport person norm general comport circul referent transport person transport escol legisl transport pasajer escol ley orden transport terrestr reglament legisl transport escol rd abril ambit aplic segur transport segur activ pasiv segur niñ person discapac dependient educ vial modul psicolog relacion trabaj diferent colect desarroll evolut caracterist psicolog infanci caracterist psicolog diferencial person edad avanz caracterist psicolog diferencial person diferent tip discapac person discapac fisic person discapac psiquic person trastorn mental modul acompañ transport escol person discapac dependient definicion personal auxili funcion acompañ transport escol respons limit acompañ acompañ person discapac dependient modul habil social comunic distint colect habil comun relacion diferent colect niñ person discapac dependent inteligent emocional resolu conflict acompañ transport escol anim trayect autobus modul situacion emergent evacu autobus situacion emergent evacu autobus situacion peligr factor riesg factor proteccion transport escol modul primer auxili prevencion riesg primer auxili principi basic orient niñ person discapac prevencion riesg laboral psicosocial," Conocimiento básico del R.D 443/2001 de 27 de abril sobre el conocimiento de seguridad en el transporte escolar y de menores   Conocimiento de los derechos y deberes del usuario del transporte escolar, PMR etc.   Conocimiento de las funciones del monitor / cuidador de transporte, así como del cometido de recogida, vigilancia, asistencia y entrega. Estricto Protocolo y documentos de registro de seguimiento de rutas,  contactos e incidencias.   Conocimiento de los distintos tipos de usuarios del transporte; escolares, personas con discapacidad y/o en situación de dependencia así como la casuística que presenta en cuanto a la vida cotidiana de estas personas y sus familias, Ayudas técnicas, medicación en situación de emergencia y/o cuidados especiales.   Conocimiento de nociones básicas de seguridad vial en el transporte. PRIMEROS AUXILIOS.   Conocimiento de una serie de actitudes positivas que refuercen su responsabilidad ante la vigilancia y cuidado de los menores durante el transporte.     Conocimiento y puesta en práctica de recursos y herramientas de comunicación y empatía para el buen desempeño de sus funciones, tanto para con los usuarios y usuarias como con sus familias.   Conocimiento  y aplicación de Herramientas y técnicas cognitivas para la contención psicológica en momentos críticos ante conductas disruptivas.   Habilidades practicas en la movilización de los usuarios del transporte haciendo buen uso de las ayudas técnicas si las hubiere, con garantías para la salud para el cuidador.   Se podrán añadir los contenidos a demanda de la entidad destinataria.",Turismo,es
INGLÉS INTERMEDIATE B1,Formación complementaria,ingles general oral escrit gramat vocabulari relev nivel,CONOCER EL IDIOMA.,Lenguas extranjeras,pt
PARASITOLOGÍA EN PEQUEÑOS ANIMALES I,Agraria,general parasit tip asoci clas parasit clas hosped relacion parasitohosped especif especi respuest hosped ecolog parasitari sistemat taxonom parasit enfermed parasitari diagnost parasitosis import parasitosis luch control parasitosis protozo helmint trematod helmint cestod helmint nematod acantocefal pentastom artropod,"Objetivo de este curso es refrescar y poner al día conceptos sobre la biología y epidemiología de los principales parásitos que pueden encontrarse en el perro y el gato y de aquellos que se diagnostican con menos frecuencia, pero que no por ello menos importantes tanto para la salud animal como para, en algunas ocasiones, la humana. .",Ganadería,es
REEDUCACIÓN POSTURAL GLOBAL,Seguridad y medio ambiente,i control nervios movimient sistem nervios sistem muscul ii metod reeducacion postural global reseñ histor definicion rpg principi objet rpg iii sistem motor muscul estat muscul dinam introduccion sistem motor contraccion neuromuscul fisiolog fisiopatolog muscul estat dinam muscul estat muscul dinam puest tension correccion contraccion isometr baj intens indic integr result iv principi tratamient postur tratamient pas evalu rpg reeduc postural global tratamient reeduc postural global rpg,"Identificar claramente la responsabilidad de la retracción muscular en las patologías músculo-esqueléticas, ya sean morfológicas o lesiónales, y aprender un tratamiento original de las disfunciones musculares.",Seguridad y prevención,es
MASTER EN COMERCIO INTERNACIONAL,Comercio y márketing,oportun globaliz acces direct merc internacional form export evolucion tecnic avanz marketing oper internacionaliz logist ecommerc red social nuev marc internacionaliz gestion person internacionaliz,"Analizar toda forma de Internacionalización Avanzada, desde la visión de un mercado global y un entorno altamente competitivo.  Aprender a manejar los procesos de decisión en el ámbito de la exportación y la internacionalización de la empresa.  Comprender el proceso de internacionalización y cómo afecta a la empresa y a sus profesionales.  Conocer, aprender y disponer de herramientas para apoyar los procesos de decisión, disponiendo de la información que permita establecer un posicionamiento en el mercado internacional de forma coherente y con posibilidades de éxito.",Compraventa,es
INGLÉS TÉCNICO.  NIVEL INTERMEDIO ALTO,Formación complementaria,escritur text especializ cart articul inform tem tecnic general lectur analisis text tom libr tecnic ingeni ademas diari period revist especializ text adapt nivel intermedi alto alumn analisis tecnic estrategi comprension lector text tecnic practic comprension audit text grab temat vari inclu entrev discusion conferent convers practic interaccion socioprofesional particip reunion negoci asistent feri realiz present oral tem relacion ingeni lenguaj conten estructur etc repas gramat general acord nivel ejercici pronunci acent enton,"1.Mejorar la capacidad para comunicarse en inglés técnico, principalmente hablar y escuchar, con el énfasis en la comunicación en el mundo de la ingeniería, arquitectura y consultoría.  2.Aprender las estructuras, terminología y vocabulario necesario para comunicarse en el entorno técnico, incluyendo teléfono, interpretación de materiales reales técnicos, reuniones y negociación.  3.Mejorar las habilidades de comunicación de cada alumno, con abundante práctica interactiva.  4.Repasar conceptos y estructuras gramaticales acordes con su nivel Intermedio Alto.  5.Mejorar la expresión escrita de los alumnos, principalmente la redacción de correos electrónicos relacionados con su trabajo diario.",Lenguas extranjeras,es
CURSO MONOGRÁFICO SOBRE ANÁLISIS DE ESTADOS ECONÓMICO-FINANCIEROS. SEGUNDA PARTE.,Administración y gestión,cambi patrimoni net analisis fluj efect analisis integr economicosfinancier analisis econom financier consolid,"Estudiar los diferentes estados financieros de las empresas: balance, cuenta de pérdidas y ganancias, memoria, estados de flujos, estados consolidados, etc. El asistente debe tener un conocimiento previo del proceso contable que le permita seguir el Curso con aprovechamiento. Este Curso pretende profundizar en las diversas técnicas de análisis económico-financiero que permiten realizar un diagnóstico de la situación de la empresa, así como establecer la base para realizar previsiones acerca de su comportamiento futuro.",Finanzas y seguros,es
LA TRIBUTACIÓN DE LAS OPERACIONES INMOBILIARIAS EN LA CUOTA GRADUAL DEL IMPUESTO SOBRE ACTOS JURÍDICOS DOCUMENTADOS,Administración y gestión,i consider previ especial referent criteri delimit existent cuot gradual actos jurid document modal document notarial impuest valor añad ii hech impon document notarial impuest actos jurid document iii recient reform normat oper ambit merc hipotecari iv tribut prest hipotecari oper constitu hipotec unilateral v tribut transmision arrend inmobiliari vi tribut condicion resolutori explicit vii analisis tribut cuot variabl distint supuest especif oper inmobiliari viii determin cuot tributari deriv conjunt oper iajd,"El presente curso tiene por objeto analizar el régimen tributario al que se encuentran sujetas dentro del Impuesto sobre Actos Jurídicos Documentados (Modalidad Documento Notarial, cuota variable) las principales operaciones que integran el tráfico inmobiliario. Se analizarán los criterios de delimitación existentes entre la cuota gradual de Actos Jurídicos Documentados (Modalidad Documento Notarial) y el Impuesto sobre el Valor Añadido así como a los principales aspectos configuradores del hecho imponible de los Documentos Notariales en el citado Impuesto, así como las recientes reformas normativas operadas en el ámbito del mercado hipotecario y el régimen tributario de las principales operaciones inmobiliarias existentes en dicho ámbito (constitución, ampliación, cancelación, alteración de rango y novación de préstamos hipotecarios, constitución de hipoteca unilateral, transmisiones y arrendamientos, condiciones resolutorias explícitas, modificación registral de fincas, prórrogas del derecho de retracto, declaraciones de obra nueva, constitución de edificios en régimen de propiedad horizontal, disolución de comunidades de bienes, etc.).",Administración y auditoría,es
ATENCION FARMACEUTICA EN PEDIATRIA,Sanidad,embriogenesis desarroll embrionari caracterist terapeut farmacolog pediatr investig clinic medicament poblacion pediatr reaccion advers interaccion farmac lactanci matern form farmaceut pediatr product sanitari uso pediatr prepar administr medicament aliment infantil formul magistral pediatr farmaci hospitalari pediatr farmacocinet monitoriz pediatr seguimient farmacoterapeut pacient pediatr intox infantil laboratori pediatr aspect diferencial valor referent enfermedad metabol hereditari vacun infantil control niñ san metabol gestacion implic diet gestacion lactanci salud adult nutricion aliment niñ gastroentereolog pediatr problem cotidian consult trastorn respiratori enfermedad infecci parasitosis diabet mellitus tip niñ adolescent anemi pediatr epilepsi trastorn paraxist tratamient medic enfermedad cardiac edad pediatr trastorn afect infanci salud visual salud ocul niñ desarroll dentari higien bucodental pequeñ her quemadur piel infantil cuid alergi educ salud infantil, Embriogénesis y desarrollo embrionario   Características de la terapéutica farmacológica en pediatría   La investigación clínica de medicamentos en la población pediátrica   Reacciones adversas e interacciones   Fármacos y lactancia materna   Formas farmacéuticas pediátricas   Productos sanitarios de uso en pediatría   Preparación y administración de los medicamentos y de alimentación infantil   Formulación magistral en pediatría   Farmacia hospitalaria pediátrica   Farmacocinética y monitorización en pediatría   Seguimiento farmacoterapéutico en el paciente pediátrico   Intoxicaciones infantiles   Laboratorio pediátrico   Aspectos diferenciales y valores de referencia   Las enfermedades metabólicas hereditarias   Vacunación infantil   Control del niño sano   Metabolismo de la gestación e implicaciones de la dieta durante la gestación y la lactancia en la salud del adulto   Nutrición y alimentación en el niño   Gastroentereología pediátrica   Problemas cotidianos de consulta   Trastornos respiratorios   Enfermedades infecciosas   Parasitosis   Diabetes mellitus tipo 1 en el niño y adolescente   Anemias en Pediatría   Epilepsia y trastornos paraxisticos   Tratamiento médico de las enfermedades cardiacas en la edad pediátrica   Trastornos afectivos en la infancia   Salud visual y salud ocular en el niño   Desarrollo dentario e higiene bucodental   Pequeñas heridas y quemaduras   La piel infantil y sus cuidados   Alergias   Educación para la salud infantil.,Atención sanitaria,es
RECICLAJE EN SBV Y DESA CYL,Sanidad,recordatori teoric soport vital basic desfibril extern semiautomat caden supervivent secuenci actuacion resucit cardiopulmon basic desfibril extern semiautomat desobstruccion via aere cuerp extrañ ovac practic soport vital basic desfibril extern semiautomat pacient adult pacient pediatr evalu teoric practic,Identificar la situación de paro cardiorrespiratorio.   Capacitar al alumno para realizar correctamente las maniobras de R.C. P. Básica en adultos y niños.   Adiestrar al alumno en las técnicas de desobstrucción de la vía aérea en adultos y niños.  Capacitar al alumno en el manejo del D.E.S.A. (Desfibrilador Externo Semiautomático),Atención sanitaria,es
SUCESIONES Y HERENCIAS,Formación complementaria,capitul i derech sucesion introduccion derech sucesion capitul ii sucesion hereditari sujet objet capac sucesori incapac absolut incapac relat indign suced capitul iii testament concept caracter conten clas form testamentari excepcional form testamentari especial capitul iv disposicion testamentari institu hereder supuest dudos disposicion gener design hereder disposicion testamentari caract gener condicion termin mod leg sustitu hereditari sustitu fideicomisari capitul v ejecu interpret testamentari ejecu testamentari albaceazg interpret testament capitul vi sucesion forzos legitim legitimari legitim descendient deshered reserv capitul vii sucesion legal concept caracter principi presupuest sucesion legal orden sucesori abintestat codig civil sucesion contractual sucesion especial capitul viii efect sucesori adquisicion herenci herenci yacent acept herenci repudi herenci situacion hereder comun hereditari capitul ix particion concept accion division prohibicion division herenci colacion ineficaci particion,- Aprender lo más importante respecto al derecho de sucesiones.  - Estudiar los diferentes tipos de sucesión  y todas sus características  - Conocer que es un testamento y sus diferentes tipos  - Aprender las diferentes disposiciones testamentarias que existen,Competencia clave,es
001,Formación complementaria,repas consolid tiemp verbal verb modal uso signific estructur gramatical complej condicional pasiv estil indirect relat funcion lenguaj opinion descripcion contr result proposit etc excepcion irregular,Obtener un uso práctico del idioma en relación a su puesto de trabajo y adaptarse a las necesidades comunicativas de cada alumno.,Lenguas extranjeras,es
ONE TO ONE B1 - VIRTUAL 120,Formación complementaria,tiemp verbal gerundi infinit condicional present simpl present continu pas simpl pas continu present perfect simpl present perfect continu pas perfect continu describ negoci expres opinion reunion presencial virtual destac aspect clav present debat acerc prevision tiemp describ sintom caus enfermedad relacion estres trabaj negoci debat tendenci social ped disculp dar razon excus,"Realiza satisfactoriamente una descripción fluida y directa sobre gran número de temas de su interés, exponiéndolos como una secuencia lineal de sucesos.  Incorpora el uso de los condiciones y pretéritos perfectos a su vocabulario.  Estructura la comunicación en situaciones conocidas. Organiza un discurso extenso con descripciones y opiniones. Mantiene un lenguaje fluido aunque con dudas debido que todavía se apoya en la traducción literal. Pronuncia con claridad aunque todavía se aprecian trazas de su lengua materna.  Comprende las ideas principales de una argumentación, pero en gran parte por intuición. Entiende inglés hablado en temas comunes y en aquellos de su especialidad, identificando tanto mensajes específicos como generales, si el discurso es claro y sencillo.  Lee sin vacilaciones textos actuales sobre temas que le conciernen con un nivel de comprensión satisfactorio. Reconoce la línea argumental del tema presentado, aunque no necesariamente los detalles. Escribe textos claros y bien estructurados.",Lenguas extranjeras,es
RECICLAJE EN SBV Y DESA CLM,Sanidad,modul i caden supervivent recordatori soport vital basic desfibril semiautomat modul ii soport vital basic adult practic svb manej desfibril semiautomat modul iii valor inicial traumatiz fas asistent pre hospitalari triaj soport inmoviliz moviliz,- Como formación complementaria deberán reciclarse todos los alumnos que previamente realizaron y superaron el curso de DESA.  - Recordar y refrescar los conocimientos necesarios para el manejo de desa y de la realización de RCP en caso de ser necesaria su práctica.,Atención sanitaria,es
PRODUCTOS CULINARIOS,Industrias alimentarias,cocin creativ autor cocin modern autor merc cocin modern evolu tendenci nouvell cuisin nuev cocin cocin creativ autor activ cocin modern autor merc experiment evolu result decor present elabor activ experiment evolu result cuestionari cuestionari modul unid cocin español internacional cocin español cocin español diet mediterrane caracterist tap pinch banderill montadit cocin miniatur esquem realiz realiz present realiz oper necesari acab cocin distint autonom restaur español reconoc activ cocin español cocin rest europ cocin frances italian portugues pais activ cocin rest europ cocin mund gastronom iberoamer caracterist general cocin magreb aport cocin asiat gastronom activ cocin mund cuestionari cuestionari modul unid decor exposicion plat present plat import conten plat present activ present plat acab distint elabor culinari estim cualidad organolept form color decor present diseñ grafic aplic decor culinari activ acab distint elabor culinari cuestionari cuestionari modul unid cuestionari cuestionari modul,Preparar y presentar los platos más significativos de las cocinas regionales de España y de la cocina internacional.,Alimentos diversos,es
INTRODUCCIÓN AL DERECHO CIVIL,Formación complementaria,bloqu fuent derech derech person bloqu derech famili derech sucesori bloqu derech real bloqu oblig contrat,- Introducción a los aspectos más relevantes del derecho civil  - Distinción entre persona física y persona jurídica  - Conocimiento de los distintos derechos reales  - Conocimiento leve del derecho sucesorio  - Aprendizaje de los distintos tipos de obligaciones y contratos,Competencia clave,es
AUXILIAR OFICINA LIQUIDADORA. REGISTRO DE LA PROPIEDAD,Administración y gestión,tem registr propied concept regim jurid organiz competent territorial fin registr propied concept regim jurid organiz competent territorial fin registr propied tem principi rig registr propied españ principi hipotecari previ inscripcion simultane inscripcion posterior inscripcion tem objet registr propied efect produc inscripcion objet registr propied efect produc inscripcion registr propied tem proced registral proced registral tem asient practic registr propied clas plaz practic formal clas asient plaz practic formal asient tem finc bas registr clas agreg agrup division segreg finc declar obra nuev finc bas registr clas finc segreg finc division finc agrup finc agreg finc declar obra nuev tem inmatricul finc dobl inmatricul concept medi inmatricul dobl inmatricul tem inscripcion hipotec concept clas oblig garantiz hipotec form constitu concept clas oblig garantiz hipotec form constitu cancel tem public formal medi public plaz form obtencion clas certif medi public plaz emision medi obtencion clas certif tem personal auxili registr naturalez relacion clasif requisit basic naturalez relacion clasif anex model escritur escritur compravent escritur cancel hipotec,El objetivo del curso es que el alumno adquiera un conocimiento actualizado de la legislación vigente  en Registro de la propiedad y conozca en profundidad las gestiones a desarrollar en un registro.,Gestión de la información y comunicación,es
PROGRAMA DE ALTA DIRECCIÓN EN DIGITAL BUSINESS (PADDB+),Informática y comunicaciones,entorn competit proces metodolog trabaj model negoci relacion client conoc client experient client cultur organiz empres haci innov permanent compart experient,"Preparar a la Alta Dirección de las compañías para entender y abordar los aspectos más relevantes de la transformación digital, así como su impacto en las diferentes áreas y niveles de la empresa.",Sistemas y telemática,pt
ORGANIZACIÓN LEAN INNOVACIÓN DEL PROCESO PRODUCTIVO,Administración y gestión,gestion conoc tecnolog definicion proces comercializ redefinicion proces product desarroll product gener nuev concept cultur motiv,Aplicación técnicas Lean Manufacturing para la optimización del proceso productivo,Administración y auditoría,es
INGLÉS II (A2.2),Formación complementaria,lexic vocabulari relacion tem trat tem rutin diari mund trabaj viaj rop compr salud deport fras vocabulari habitual tem interes personal inform personal famili basic compr lug resident emple gramat sintaxis tiemp verbal present pas futur form simpl continu verb modal uso can could should form compar superl expresion cantid uso articul defin indefin interrog aument domini gramat fluidez expres alumn practic grup parej desarroll activ comunic competent comprension comprend fras vocabulari habitual tem interes personal inform personal famili emple situacion pued surg viaj zon utiliz ingles capt ide principal avis mensaj brev clar sencill leer text brev sencill encontr inform especif predec escrit sencill cotidian anunci publicitari prospect menus horari comprend cart personal brev sencill expresion oral comunic tar sencill habitual requier intercambi simpl direct inform activ asunt cotidian realiz intercambi social brev utiliz seri expresion fras describ termin sencill famili person condicion vid orig educ trabaj actual ultim expresion escrit escrib not mensaj brev sencill relat neces inmediat escrib cart personal sencill ejempl agradec algui,"Al finalizar el curso, el alumno será capaz de:   Participar en conversaciones sencillas sobre cuestiones que le son conocidas o habituales.   Comprender los puntos principales de textos claros y en lengua estándar si tratan sobre cuestiones que le son conocidas, ya sea en situaciones de trabajo, de estudio o de ocio.   Describir aspectos de su presente, pasado y futuro y de su entorno así como cuestiones relacionadas con sus necesidades inmediatas.",Lenguas extranjeras,es
MÁSTER EN MARKETING TUÍSTICO Y E-COMMERCE,Comercio y márketing,modul introduccion turism introduccion etur estrategi innov aplic turism modul estrategi marketing marketing turist empres destin turist diseñ creacion pagin webs gestion marc internet seo sem cas practic marketing turist estudi analisis tecnic comun turist relacion public modul direccion estrateg analisis extern intern empres turist estrategi habil direct gestion recurs human modul nuev tecnologi aplic turism revenu yield management ecommerc comerci electron model negoci bb yi bc impact aspect legal comercializ distanci onlin product turist principal gdss aplic marketing turist modul direccion econòm financ contabil hoteler analisis financier gestion presupuest modul gestion fideliz client introduccion gestion fideliz client diferent program fideliz crm scm erp investig merc modul proyect final creacion plan marketing present plan negoci aspect formal,"Dotar al alumno de los conocimientos específicos de e-commerce y marketing en el sector turístico que le capacite profesionalmente para realizar faenas de gestión y administración turística que demanda la empresa en un mercado altamente competitivo.  El programa esta diseñado para capacitar a los alumnos de todas las herramientas necesarias para hacer frente a las necesidades de la empresa turística actual, y especialmente de las empresas de alojamientos turísticos y de empresas de agencias de viajes.  Específicamente:  Identificar y evaluar las nuevas herramientas del e-turisme con el objeto de mejorar la gestión integral de la empresa.  Gestionar las nuevas estrategias del marketing en las diferentes empresas turísticas.  Diseñar un plan de marketing específico de la empresa turística para mejorar su competitividad.",Marketing y relaciones públicas,es
HABILIDADES COMUNICATIVAS EN INGLÉS II (PRE B2),Formación complementaria,lexic adjet adverbi vocabulari relacion tem trat tem gust diner cuerp salud transport viaj geograf oci fiest deport fras vocabulari habitual tem interes personal inform personal famili basic lug resident emple gramat sintaxis tiemp verbal present pas futur form simpl continu present perfect simpl verb modal uso will might prediccion form compar superl er condicional uso articul defin indefin interrog adverbi frecuenci verb infinit gerundi aument domini gramat fluidez expres alumn practic grup parej desarroll activ comunic competent comprension comprend ide principal discurs clar trat asunt cotidian comprend ide principal program radi television trat asunt interes personal profesional articul relat lent clar comprend text redact lengu uso habitual cotidian relacion trabaj expresion oral sab desenvolv casi tod situacion present viaj habl ingles particip espontan convers trat tem cotidian interes personal pertinent vid diari sab enlaz fras form sencill fin describ experient hech esper ambicion explic justific brevement opinion proyect expresion escrit escrib text sencill bien enlaz tem conoc interes personal escrib cart personal describ experient impresion,"Al finalizar el curso, el alumno será capaz de:   comprender con facilidad textos claros y en lengua estándar si tratan sobre cuestiones que le son conocidas.    desenvolverse en las situaciones que pueden surgir durante un viaje por zonas donde se utiliza el inglés.    producir textos coherentes sobre temas que le son familiares o en los que tiene un interés personal. Puede describir experiencias, acontecimientos, deseos y aspiraciones, así como justificar brevemente sus opiniones o explicar sus planes.",Lenguas extranjeras,es
GETTING READY FOR FIRST CERTIFICATE II (B2),Formación complementaria,lexic vocabulary relat to the following topics phrasal verbs for variety of situations crim and punishment paraphrasing health food and drink weath gramat sintaxis modal verbs for speculation and deduction question tags passiv voic conditionals so neith too nor report speech countabl and uncount nouns competent comprension comprend discurs conferent extens segu lin argumental complej comprend casi program tem actual leer articul inform relat problem contemporane expresion oral particip convers ciert fluidez espontan posibilit comun normal hablant nativ tom part activ debat desarroll situacion cotidian explic defend punt vist present descripcion clar detall ampli seri tem sab explic punt vist tem expon ventaj inconvenient vari opcion expresion escrit escrib text clar detall ampli seri tem escrib redaccion inform transmit inform,"El objetivo de este curso es preparar a todos aquellos interesados en presentarse al examen de First Certificate de Cambridge:   Se trabajarán las partes del examen: use of English, Speaking, Reading, Listening y Writing.    En clase, habrá más énfasis en Speaking y análisis de errores y dificultades lingüísticas encontradas en las actividades de producción.",Lenguas extranjeras,es
